Name, Vorname;Geburtsjahr;Berufsschlüssel;Beruf/Stand;Geschlecht;Partei;Land;Platz;Wahlkreis
Schlumberger-Dogu, Lilian ;1950;87;Lehrerin;2;DIE LINKE;BY;19;
Schlüter, Andrew Niko ;1967;15;Kunststoff-Formgeber;1;MLPD;BE;1;82
Schlüter, Brigitte ;1944;95;Rentnerin;2;FDP;HE;26;
Schlüter, Sanja ;1977;83;Mendiengestalterin für Printmedien;2;MLPD;BE;6;
Schmalcz, Andreas ;1965;78;Veranstaltungskaufmann;1;CSU;BY;70;
Schmalzbauer, Reinhold ;1975;62;Techniker;1;GRÜNE;BY;52;234
Schmatz, Thomas Maria ;1949;67;Selbstständiger Kaufmann;1;CSU;BY;58;
Schmelzle, Heiko ;1970;69;Sparkassenbetriebswirt;1;CDU;NI;26;24
Schmezer, Susanne ;1967;3;Technikerin für Weinbau und Kellerwirtschaft;2;CDU;BW;43;
Schmid, Christoph Matthias ;1980;87;Lehrer;1;PIRATEN;BY;18;225
Schmidhuber, Anna ;1988;94;Studentin;2;GRÜNE;BY;51;
Schmidt, Christel ;1936;78;Kauffrau;2;REP;RP;8;
Schmidt, Christian ;1957;76;MdB, parlamentarischer Staatssekretär;1;CSU;BY;9;243
Schmidt, Dagmar ;1973;88;Historikerin;2;SPD;HE;6;172
Schmidt, Detlef Werner ;1953;88;Angestellter, Diplomwirtschaftler;1;FREIE WÄHLER;;   ;84
Schmidt, Dr. Andreas ;1970;88;Historiker;1;SPD;ST;5;74
Schmidt, Dr. Frithjof ;1953;88;Sozialwissenschaftler;1;GRÜNE;NW;4;140
Schmidt, Edda ;1948;95;Hausfrau;2;NPD;BW;2;290
Schmidt, Felix ;1990;94;Student;1;GRÜNE;RP;10;211
Schmidt, Gabriele ;1956;78;Industriekauffrau;2;CDU;BW;13;
Schmidt, Hans ;1939;95;Rentner;1;NPD;;   ;295
Schmidt, Heike ;1964;76;Bügermeisterin;2;CDU;SN;14;
Schmidt, Heiko Gerhard ;1988;94;Student;1;GRÜNE;BY;46;249
Schmidt, Ingeborg ;1946;95;Hausfrau;2;pro Deutschland;BY;3;
Schmidt, Marion Beate Frederike ;1954;86;Sozialpädagogin;2;MLPD;BY;10;
Schmidt, Matthias ;1976;88;Kaufmännischer Angestellter;1;FREIE WÄHLER;;   ;85
Schmidt, Matthias ;1963;78;Beamter;1;SPD;BE;8;84
Schmidt, Mirko ;1966;75;Verwalter;1;pro Deutschland;SN;1;155
Schmidt, Peer ;1956;20;Gießereifacharbeiter;1;REP;BE;4;
Schmidt, Rainer ;1962;30;Klavierbaumeister;1;DIE VIOLETTEN;BY;30;
Schmidt, Renate (Gisela) ;1959;87;Musiklehrerin;2;MLPD;;   ;295
Schmidt, Rudolf Lothar ;1951;5;Diplom-Gartenbauingenieur;1;DIE LINKE;SN;12;161
Schmidt, Sebastian ;1987;78;Bürokaufmann, Student;1;FREIE WÄHLER;;   ;76
Schmidt, Stefan Rupert ;1981;88;Wissenschaftlicher Angestellter;1;GRÜNE;BY;10;232
Schmidt, Steffen ;1965;88;Diplom-Betriebswirt (BA);1;FREIE WÄHLER;SN;5;
Schmidt, Sven ;1973;75;Direktor Vertrieb;1;AfD;;   ;9
Schmidt, Ulla ;1949;87;Sonderschulpädagogin, Bundesministerin a. D.;2;SPD;NW;10;87
Schmidt, Wiebke ;1985;76;Referentin;2;FDP;HE;28;
Schmidt-Berg, Lars ;1978;99;Selbstständig, Bachelor of Arts;1;CDU;NI;33;
Schmidtke, Sebastian ;1985;78;Kaufmann;1;NPD;BE;2;83
Schmidtsdorff-Aicher, Renate Johanna ;1942;95;Diplom-Physikerin i. R.;2;DIE FRAUEN;BY;4;
Schmitsdorf, Klaus ;1949;86;Hartz-IV- und Erwerbslosen-Berater;1;DIE LINKE;;   ;235
Schmitt, Markus ;1966;67;Selbständiger Kaufmann;1;GRÜNE;SL;4;299
Schmitt, Oliver Maria ;1966;82;Schriftsteller;1;Die PARTEI;HE;1;
Schmitt, Peter ;1966;79;Hausmeister;1;ÖDP;RP;14;
Schmitt, Roman ;1984;77;Fachinformatiker;1;PIRATEN;RP;9;208
Schmitt, Ronja ;1989;94;Studentin;2;CDU;BW;19;
Schmitt, Thomas ;1973;81;Jurist;1;CDU;SL;15;
Schmitz, Dr. Christian Zlatko ;1975;75;Geschäftsführer;1;SPD;RP;35;
Schmitz, Hans Werner Karl ;1951;78;Finanzbeamter;1;AfD;;   ;103
Schmitz, Thomas ;1961;70;Schifffahrtskaufmann;1;CDU;HB;4;
Schmitz-Rixen, Dr. Jutta ;1944;95;Beamtin i.R.;2;CDU;BW;45;
Schmitz-Stadtfeld, Marion ;1962;88;Politologin;2;SPD;HE;44;
Schmolt, Mike ;1980;98;Auszubildender;1;Die PARTEI;BE;26;
Schmück, Ulrich ;1961;77;Diplom-Informatiker;1;FDP;SH;8;2
Schnabel, Philipp ;1986;94;Student;1;PIRATEN;SN;11;
Schneider, Carsten ;1976;76;Mitglied des Deutschen Bundestages;1;SPD;TH;1;193
Schneider, Dr. Heinz-Joachim Hubert ;1939;95;Rentner;1;REP;TH;3;
Schneider, Helmut ;1958;60;Diplom-Ingenieur (FH);1;AfD;BW;3;284
Schneider, Johannes ;1957;1;Winzer, Diplom-Ingenieur-Oenologe;1;ÖDP;RP;2;
Schneider, Kevin ;1991;94;Student (Jura);1;FDP;NW;44;126
Schneider, Klaus ;1948;95;Pensionär;1;FREIE WÄHLER;BW;19;
Schneider, Maik ;1987;86;Erzieher;1;NPD;;   ;60
Schneider, Maria Magdalena ;1940;85;Krankenschwester;2;CDU;SL;12;
Schneider, Mario Dieter ;1971;86;Betreuungshelfer;1;ÖDP;ST;4;
Schneider, Matthias ;1960;77;Systemanalytiker;1;GRÜNE;NW;24;116
Schneider, Norbert ;1964;31;Fernmeldemonteur;1;DIE LINKE;TH;6;
Schneider, Ronny ;1982;88;Bachelor of Science, Angestellter;1;FREIE WÄHLER;ST;10;
Schneider, Tilo Helmut ;1965;61;Chemiefacharbeiter;1;PIRATEN;SN;12;158
Schneider, Ulrich ;1972;76;Mitglied des Deutschen Bundestages;1;GRÜNE;BW;12;267
Schnellinger, Martin ;1970;78;Beamter im Auswärtigen Amt;1;ÖDP;BE;5;
Schnieder, Patrick ;1968;76;MdB, Jurist, Bürgermeister a.D.;1;CDU;RP;10;203
Schnorbusch, Christian Bernhard ;1986;88;Diplom-Volkswirt;1;FDP;BY;24;
Schnorr, Michael ;1954;78;Verwaltungsangestellter;1;NPD;NW;4;102
Schnurr, Christoph ;1984;76;Bundestagsabgeordneter;1;FDP;HE;5;183
Scho-Antwerpes, Elfi ;1952;60;Diplom-Ingenieurin;2;SPD;NW;32;94
Schock, Thomas Friedrich ;1968;78;Technischer Betriebswirt;1;DIE LINKE;;   ;138
Schockenhoff, Dr. Andreas ;1957;76;Mitglied des Deutschen Bundestages;1;CDU;;   ;294
Schöffberger, Michael Anton Max ;1967;80;Polizeibeamter;1;ÖDP;BY;24;229
Scholl, Benjamin ;1990;94;Student;1;ÖDP;TH;7;
Scholtz, Michele ;1993;94;Studentin;2;Die PARTEI;HE;4;
Scholz, Claudia ;1953;77;Buchhalterin;2;FREIE WÄHLER;TH;4;194
Scholz, Daniela ;1972;88;Diplom-Psychologin;2;Die PARTEI;BE;34;
Scholz, Rebecca ;1993;94;Studentin;2;FREIE WÄHLER;HE;3;177
Scholze, Dennis ;1979;87;Studienrat;1;SPD;NI;33;
Schomaker, Bernd ;1958;78;Kaufmann;1;FDP;HB;4;
Schon, Manuela ;1982;78;Angestellte;2;DIE LINKE;HE;13;179
Schön, Nadine ;1983;76;Mitglied des Deutschen Bundestages;2;CDU;SL;2;298
Schönberger, Maximilian ;1944;95;Rentner;1;Bündnis 21/RRP;BY;11;256
Schöne, Andre Gerhard ;1967;85;Krankenpflegehelfer;1;FDP;SN;14;
Schöne, Matthias ;1968;31;Facharbeiter für BMSR-Technik;1;Die PARTEI;HH;16;
Schöne, Tilo ;1957;79;Selbständiger Hausmeister;1;REP;BY;4;225
Schoner, Katja ;1970;78;Kauffrau;2;SPD;NI;42;
Schöps, Jeniffer ;1986;24;Schweißerin;2;NPD;;   ;146
Schöps, Richard ;1967;83;Grafiker;1;BP;BY;8;
Schrade, Rene ;1970;27;Industriemechaniker;1;NPD;;   ;262
Schrader, Katharina Marianne Ute ;1981;88;Wissenschaftliche Mitarbeiterin;2;SPD;BY;30;256
Schrage, Christopher ;1964;76;Wissenschaftlicher Referent;1;PIRATEN;NW;22;
Schramm, Manfred Friedrich ;1960;77;IT-Systemberater;1;PIRATEN;;   ;113
Schreckenbauer, Stefan ;1981;60;Ingenieur;1;FDP;BW;36;261
Schregle, Robert Adolf ;1963;78;Kaufmännischer Angestellter;1;AfD;BY;37;229
Schreiber, Ernst ;1948;60;Diplom-Ingenieur;1;FDP;NI;19;45
Schreiber, Ines ;1973;85;Krankenschwester;2;NPD;;   ;162
Schreiber, Peter ;1973;75;Geschäftsführer;1;NPD;SN;5;155
Schreiner, Bernd ;1967;60;Architekt;1;PIRATEN;TH;3;197
Schreiner, Bertold ;1960;30;Geigenbauer;1;BüSo;BW;5;
Schreiter, Normen ;1984;31;Elektriker;1;NPD;;   ;14
Schröder, Arno ;1958;99;Selbstständig;1;PIRATEN;;   ;167
Schröder, Dr. Kristina ;1977;76;Bundesministerin;2;CDU;HE;2;179
Schröder, Dr. Ole ;1971;76;MdB, Rechtsanwalt, Parlamentarischer Staatssekretär;1;CDU;SH;2;7
Schröder, Henrik ;1994;19;Verfahrensmechaniker;1;FDP;;   ;35
Schröder, Patrick Hermann ;1983;77;Informatik-Kaufmann;1;NPD;;   ;235
Schröder, Peter Christian ;1965;87;Kommunikationsberater;1;FREIE WÄHLER;NW;5;149
Schröder, Simon ;1954;94;Student;1;Die PARTEI;BE;25;
Schröder, Volker Georg ;1970;77;IT-Berater;1;PIRATEN;;   ;84
Schrodi, Michael ;1977;87;Studienrat;1;SPD;BY;23;216
Schröer, David ;1985;65;Ausbilder für Industriegerüstbau;1;NPD;;   ;164
Schropp, Michael ;1970;94;Student;1;GRÜNE;BY;34;256
Schröter, Eric ;1985;67;Kaufmann im Groß- und Außenhandel;1;Die PARTEI;BE;50;
Schröter, Lutz ;1968;62;Technischer Angestellter;1;FREIE WÄHLER;;   ;133
Schrutek, Andrea ;1963;76;Wissenschaftliche Mitarbeiterin, Fachverkäuferin;2;DIE LINKE;SN;11;164
Schubert, Hans-Joachim ;1949;26;Klempner;1;NPD;;   ;144
Schubert, Manfred ;1970;77;Software-Entwickler;1;PIRATEN;TH;2;193
Schubert, Prof. Johann Gottfried Emil ;1931;60;Diplom-Ingenieur;1;REP;BY;9;
Schuchardt, Rainer ;1950;76;Diplom-Verwaltungswirt (FH);1;FREIE WÄHLER;SH;1;8
Schuch-Leitl, Andrea Helga ;1962;85;Krankenschwester;2;GRÜNE;BY;47;
Schuh, Lore ;1947;95;Lehrerin i.R.;2;ÖDP;BW;24;
Schuhfuß, Marlene ;1980;30;Augenoptikerin;2;Die PARTEI;HH;17;
Schuldt, Robert ;1977;77;Diplom-Ingenieur Informatik;1;PIRATEN;MV;9;
Schulenburg, Dr. Jörg ;1969;61;Physiker;1;PIRATEN;;   ;69
Schüler, Fritz ;1939;95;Rentner;1;pro Deutschland;BW;4;
Schuler, Selina ;1992;94;Studentin;2;PIRATEN;SL;3;
Schulhauser, Kevin ;1989;78;Kaufmännischer Assistent für Betriebswirtschaft;1;NPD;;   ;195
Schulte, Karl Stephan ;1963;75;Unternehmensberater;1;DIE LINKE;;   ;130
Schulte, Klaus Keno Friedrich ;1982;94;Student;1;Die PARTEI;NW;3;
Schulte, Michael ;1962;75;Geschäftsführer;1;FDP;NW;53;150
Schulte, Patrik ;1980;82;Freier Journalist;1;DIE LINKE;HB;4;
Schulte, Peter ;1969;76;Fraktionsgeschäftsführer;1;DIE LINKE;;   ;148
Schulte, Ursula ;1952;95;Hausfrau;2;SPD;NW;14;126
Schulte-Drüggelte, Bernhard August ;1951;3;Diplom-Ingenieur Agrar;1;CDU;NW;16;146
Schulz, Carmen ;1957;69;Versicherungskauffrau;2;FDP;;   ;65
Schulz, Dieter ;1969;32;Montierer;1;NPD;NW;9;139
Schulz, Herbert Heinrich Paul ;1947;95;Rentner;1;DIE LINKE;HH;6;21
Schulz, Jens Uwe ;1953;86;Sozialpädagoge;1;DIE LINKE;SH;8;11
Schulz, Jimmy ;1968;76;Mitglied des Deutschen Bundestages;1;FDP;BY;5;222
Schulz, Mathias ;1980;14;Chemikant;1;BüSo;BE;11;82
Schulz, Olaf ;1958;78;Kommunalbeamter;1;FREIE WÄHLER;NI;10;33
Schulz, Rudolf Werner ;1956;78;Verwaltungsangestellter;1;FREIE WÄHLER;HE;12;
Schulz, Swen ;1968;76;Mitglied des Deutschen Bundestages;1;SPD;BE;2;78
Schulz-Asche, Kordula Anna Paula ;1956;88;Kommunikationswissenschaftlerin;2;GRÜNE;HE;5;181
Schulze, Angelina ;1984;94;Studentin;2;NPD;;   ;106
Schulze, Dr. Heiko K. L. ;1954;82;Denkmalpfleger;1;PIRATEN;SH;1;
Schulze, Dr. Klaus-Peter ;1954;87;Diplom-Lehrer Biologie/Chemie, Bürgermeister;1;CDU;BB;7;64
Schulze, Karl-Heinz ;1955;5;Gärtner;1;MLPD;MV;5;
Schulze, Prof. Dr. Joachim ;1952;87;Professor;1;GRÜNE;;   ;157
Schulze, Sebastian Richard ;1976;75;Unternehmer;1;AfD;;   ;150
Schulze, Wolfgang ;1949;95;Arbeitslos;1;REP;NW;7;
Schulze-Hagen, Dr. Alfons ;1952;81;Rechtsanwalt;1;CDU;BW;48;
Schumacher, Markus ;1977;88;Historiker;1;NPD;;   ;141
Schumacher, Ulrich ;1966;60;Diplom-Ingenieur;1;PIRATEN;;   ;127
Schumacher, Wolfgang ;1959;74;Lagerist;1;DIE LINKE;;   ;297
Schumann, Claudia Ilse ;1960;88;Betriebswirtin;2;PIRATEN;;   ;46
Schumann, Edeltraud ;1960;73;Postzustellerin;2;MLPD;ST;9;
Schumann, Kai ;1982;94;Student;1;Die PARTEI;NW;2;
Schummer, Uwe ;1957;67;Groß- und Außenhandelskaufmann;1;CDU;NW;43;111
Schunder, Günther ;1953;75;Unternehmerberater;1;FREIE WÄHLER;BW;8;295
Schünemann, Christina Anna Sarah ;1986;94;Studentin;2;Die PARTEI;HH;3;
Schünemann, Wolf-Joachim ;1963;75;Geschäftsführender Gesellschafter;1;AfD;BY;7;
Schupeck, Anna ;1984;94;Studentin;2;AfD;BW;6;261
Schurer, Ewald ;1954;76;MdB, Diplom-Betriebswirt;1;SPD;BY;7;214
Schürer, Tilman Gregor ;1979;81;Rechtsanwalt;1;FDP;BY;23;244
Schurig, Stephan ;1984;94;Student;1;PIRATEN;ST;2;72
Schusser-Backhaus, Ellen ;1956;81;Rechtsanwältin;2;CDU;HE;33;
Schüßler, Claudia ;1967;81;Rechtsanwältin;2;SPD;NI;44;
Schüßler, Gitta ;1961;76;Mitglied des Landtages;2;NPD;;   ;163
Schüßler, Sigrid ;1969;83;Schauspielerin;2;NPD;BY;2;
Schuster, Armin ;1961;76;Mitglied des Deutschen Bundestages;1;CDU;;   ;282
Schuster, Marina Walburga ;1975;76;MdB, Diplom-Kauffrau;2;FDP;BY;4;246
Schütt, Hinrich ;1976;81;Rechtsanwalt;1;FDP;MV;9;
Schütz, Annette ;1960;81;Rechtsanwältin;2;SPD;NI;58;
Schützinger, Jürgen ;1953;75;Geschäftsführer;1;NPD;BW;1;286
Schützinger, Rudolf ;1982;65;Industriemeister;1;NPD;;   ;280
Schwab, Dr. Martin ;1967;87;Universitätsprofessor;1;ÖDP;BE;1;
Schwabe, Frank ;1970;76;Mitglied des Deutschen Bundestages;1;SPD;NW;47;121
Schwabe, Holger ;1964;76;Referent;1;FDP;;   ;86
Schwalb, Gisela ;1959;86;Tagesmutter;2;MLPD;BW;10;
Schwamen van, Jürgen ;1957;81;Jurist;1;PIRATEN;;   ;135
Schwang, Dietrich ;1948;61;Diplom-Mathematiker;1;MLPD;SL;1;296
Schwanholz, Dr. Martin ;1960;76;MdB;1;SPD;NI;28;39
Schwanke, Benjamin ;1982;81;Jurist;1;FDP;HH;8;
Schwartze, Stefan ;1974;76;MdB, Industriemechaniker;1;SPD;NW;44;133
Schwarz, Andreas ;1965;76;Erster Bürgermeister;1;SPD;BY;19;236
Schwarz, Antje ;1951;61;Diplom-Chemikerin;2;FREIE WÄHLER;ST;8;
Schwarz, Christian ;1978;77;Softwareentwickler;1;PIRATEN;BW;5;
Schwarz, Doris ;1967;78;Sachbearbeiterin;2;FAMILIE;SL;3;
Schwarz, Dr. Bruno ;1949;61;Diplom-Chemiker;1;DIE LINKE;;   ;188
Schwarz, Dr. Caroline ;1971;61;Chemikerin;2;BP;BY;2;
Schwarz, Dr. Christian ;1974;88;Politikwissenschaftler;1;CSU;BY;55;
Schwarz, Marion ;1957;88;Kinder- und Jugendpsychotherapeutin;2;GRÜNE;RP;12;
Schwarz, Thomas Ludwig ;1970;76;Politischer Sekretär;1;DIE LINKE;BY;12;215
Schwarzelühr-Sutter, Rita ;1962;76;Mitglied des Deutschen Bundestages;2;SPD;BW;10;288
Schwarzer, Andreas ;1961;81;Rechtsanwalt;1;FDP;BY;40;216
Schwarzer, Christina ;1976;81;Rechtsanwalts-, Notarfachangestellte;2;CDU;BE;6;82
Schwarzer, Frank ;1974;86;Diplom-Sozialarbeiter;1;DIE LINKE;;   ;132
Schwede-Oldehus, Babett ;1962;2;Kauffrau;2;CDU;SH;14;
Schwedthelm, Christopher Björn ;1987;94;Student;1;AfD;SH;24;
Schween, Ingrid ;1963;86;Sozialarbeiterin;2;DIE LINKE;NW;22;
Schweickert, Dr. Erik ;1972;76;MdB, Professor;1;FDP;BW;8;279
Schweiger, Dr. Hermann Josef ;1954;84;Allgemeinarzt;1;ÖDP;BY;5;
Schweighöfer, Daniel ;1980;77;IT-Fachkraft;1;PIRATEN;BE;12;
Schweitzer, Angelika ;1949;95;Rentnerin;2;MLPD;NW;13;
Schweizer, Frank ;1946;60;Diplom-Ingenieur Bauingenieurwesen;1;Anderer KWV;;   ;258
Schweizerhof, Sabine Eva Elisabeth ;1949;95;Rentnerin;2;MLPD;NW;17;
Schwenk, Axel ;1964;72;Flugdienstberater;1;PIRATEN;;   ;178
Schwerdtfeger, Siegfried ;1973;31;Elektriker;1;NPD;;   ;142
Schwertges, Heinz Peter ;1959;5;Gärtner;1;DIE LINKE;;   ;272
Schwettmann, Ole ;1983;78;Kaufmännischer Angestellter;1;PIRATEN;;   ;34
Sedlmeyer, Gunther ;1958;86;Diplom-Sozialpädagoge (FH);1;BP;;   ;240
Seeger, Sabine ;1984;60;Diplom-Ingenieurin Elektrotechnik;2;CDU;BW;31;
Seeger, Sebastian ;1981;94;Student;1;PIRATEN;HH;1;21
Seegers, Vera ;1947;99;Freiberufliche Beraterin;2;pro Deutschland;NI;1;
Seeghitz, Klaus Jochen ;1965;75;Geschäftsführer;1;AfD;BY;10;
Seekatz, Ralf ;1972;76;Mitglied des Landtages;1;CDU;RP;35;
Seel, Manfred ;1954;78;Kaufmann;1;DIE LINKE;BY;6;254
Seemann, Harry Gerhard ;1955;62;Chemisch-technischer Assistent;1;Anderer KWV;;   ;129
Seemann, Wolfgang ;1950;87;Lehrer;1;ÖDP;;   ;136
Seemann-Katz, Ulrike ;1955;88;Diplom-Pädagogin;2;GRÜNE;MV;2;13
Seestern-Pauly, Matthias ;1984;87;Studienreferendar;1;FDP;NI;9;38
Seidel, Wolfgang ;1969;70;selbstständiger Immobilienkaufmann;1;DIE LINKE;;   ;222
Seidemann, Lothar ;1950;44;Maurer;1;REP;BW;4;280
Seidensticker, Lars ;1973;42;Brauer und Mälzer;1;pro Deutschland;BE;1;
Seidl, Anton ;1959;1;Bauer;1;FREIE WÄHLER;BY;43;
Seidl, Siegfried Hermann ;1965;81;Rechtsanwalt;1;FDP;BY;26;230
Seidler, Malte-Carsten ;1978;99;Selbständig;1;PIRATEN;SH;7;
Seidler, Pascal ;1991;93;Gebäudereiniger;1;DIE LINKE;SH;12;
Seif, Detlef ;1962;76;MdB, Rechtsanwalt;1;CDU;NW;49;92
Seifen, Helmut ;1953;87;Schulleiter Gymnasium;1;AfD;;   ;124
Seifert, Berthold Konrad ;1964;75;Leitender Kaufmännischer Angestellter;1;REP;BY;3;
Seifert, Dr. Ilja ;1951;76;Mitglied des Deutschen Bundestages;1;DIE LINKE;SN;10;157
Seifert, Erich ;1965;78;Bürokaufmann;1;AfD;HB;3;55
Seifert, Ralf Michael ;1955;95;Pensionär;1;AfD;BB;11;
Seiler, Priska ;1962;78;Beamtin;2;CDU;BW;36;
Seipenbusch, Jens ;1968;77;IT-Manager;1;PIRATEN;NW;4;
Seissiger, Ursula ;1946;84;Allgemeinärztin;2;FDP;BY;44;250
Seitz, Jasmin ;1989;94;Studentin;2;CDU;BW;33;
Seitzer, Albert ;1954;95;Berufsschullehrer i.R.;1;ÖDP;;   ;263
Seitz-Hoffmann, Gabriela ;1952;88;Diplom-Politologin;2;GRÜNE;BY;29;226
Selder-Radke, Beate ;1964;76;Diplom-Verwaltungswirtin;2;ÖDP;ST;2;
Selig, Holger ;1970;99;Selbständig;1;AfD;;   ;113
Selle, Johannes ;1956;76;MdB, Diplom-Mathematiker;1;CDU;TH;7;191
Semmler, Diego ;1986;88;Doktorand;1;FREIE WÄHLER;HE;14;
Semmler, Georg ;1982;63;Chemielaborant;1;PARTEI DER VERNUNFT;RP;3;209
Semrau, Björn Niklas ;1978;94;Student;1;PIRATEN;HE;4;186
Sendker, Reinhold Max ;1952;76;MdB, Studiendirektor a.D.;1;CDU;;   ;130
Senftleben, Mieke ;1952;99;Selbstständig;2;FDP;;   ;77
Senger-Schäfer, Kathrin ;1962;76;Mitglied des Deutschen Bundestages;2;DIE LINKE;;   ;206
Sensburg, Patrick Ernst Hermann ;1971;76;MdB, Hochschullehrer;1;CDU;;   ;147
Serbser, Henriette ;1981;70;Diplom-Medienberaterin;2;Die PARTEI;BE;7;
Servas, Claudia Irina ;1959;69;Bankkauffrau;2;SPD;SL;7;
Serway, Wolfgang ;1948;87;Lehrer und Journalist;1;MLPD;BW;17;
Seyffahrt, Miriam ;1986;94;Studentin;2;PIRATEN;BE;2;
Sharma, Raju ;1964;81;Jurist;1;DIE LINKE;;   ;5
Siebe, Dr. Michaele ;1960;88;Kunsthistorikerin;2;DIE LINKE;BY;17;226
Sieber, Andrea ;1977;86;Staatlich anerkannte Erzieherin;2;GRÜNE;BW;25;264
Siebert, Bernd ;1949;67;Selbständiger Kaufmann;1;CDU;HE;4;170
Sieg, Andre ;1963;63;Chemielaborant;1;pro Deutschland;HB;1;
Sieg, Monika ;1946;60;Diplom-Ingenieur-Ökonomin;2;AfD;RP;18;
Siegert, Günther ;1947;60;Ingenieur und Volkswirt;1;AfD;;   ;20
Sieh, Oliver ;1962;75;Geschäftsführer;1;AfD;RP;9;
Sieling, Dr. Carsten Günter Erich ;1959;76;MdB, Diplom-Ökonom;1;SPD;HB;1;54
Siemiatkowski, Armin ;1993;99;Selbstständig;1;PARTEI DER VERNUNFT;NW;13;
Siemsglüß, Helmut ;1960;28;Kfz-Mechaniker;1;Die PARTEI;NW;22;
Sieratzki, Rocco ;1987;78;Angestellter;1;BüSo;SN;8;
Siercke, Astrid ;1963;30;Goldschmiedemeisterin;2;FDP;HH;4;
Siggel, Benjamin Magnus ;1986;99;selbständig;1;PIRATEN;NI;6;
Siggelkow, Fabian Tobias ;1984;94;Schüler;1;Die PARTEI;HB;3;
Silberhorn, Gottfried, Walter ;1955;60;Entwicklungsingenieur;1;DIE VIOLETTEN;BY;36;
Silberhorn, Thomas ;1968;76;MdB, Rechtsanwalt;1;CSU;;   ;236
Simbeck, Florian ;1971;83;Schauspieler;1;SPD;BY;42;215
Simmling, Werner ;1944;76;MdB, Diplom-Volkswirt;1;FDP;BW;24;263
Simon, Hasso Carl-Wilhelm ;1947;78;Kaufmann, Unternehmensberater;1;AfD;;   ;149
Simon, Marcel ;1989;94;Student;1;PARTEI DER VERNUNFT;NW;9;
Singhammer, Johannes ;1953;76;Mitglied des Deutschen Bundestages;1;CSU;BY;7;218
Sippel, Oliver ;1978;83;Discjockey;1;PIRATEN;SH;3;2
Sippel, Wolf-Rüdiger ;1955;85;Fachkraft für Neurologie und Psychiatrie;1;pro Deutschland;RP;4;
Sitte, Dr. Petra ;1960;76;MdB, Diplom-Ökonomin;2;DIE LINKE;ST;1;72
Skoda, Vladimir ;1948;75;Steuerberater;1;AfD;;   ;98
Skudelny, Judith ;1975;76;MdB, Rechtsanwältin;2;FDP;BW;6;258
Sladek, Sven ;1970;62;IT-Berater;1;PIRATEN;;   ;146
Slave, Günter Paul ;1955;27;Maschinenschlosser;1;MLPD;SN;1;160
Slobidnyk, Michael ;1965;41;Koch;1;PIRATEN;;   ;14
Snelinski, Oliver ;1980;87;Lehreranwärter;1;Anderer KWV;;   ;86
Sokolowski, Thomas ;1966;83;Diplom-Designer;1;PIRATEN;NI;16;
Söllner, Eva ;1960;76;Bürgermeisterin;2;CDU;HE;37;
Söllner, Karl ;1956;88;Betriebswirt;1;SPD;BY;25;233
Solms-Hohensolms-Lich Prinz zu, Dr. Hermann Otto;1940;99;Selbständiger;1;FDP;HE;39;173
Soltau, Uwe ;1958;60;Diplom-Ingenieur;1;AfD;NW;25;
Sölter, Nicolas ;1988;94;Student der Rechtswissenschaften;1;CDU;SH;29;
Sommer, Klaus Dieter ;1947;95;Rentner;1;FREIE WÄHLER;HE;15;
Sommer, Theodor Heinrich ;1960;77;IT-Vertriebsbeauftragter;1;FREIE WÄHLER;NI;3;53
Sommerfeld, Klaus Jürgen ;1956;75;Vertriebsleiter;1;PIRATEN;TH;7;191
Sondermann, Norbert ;1966;3;Agrar-Ingenieur;1;GRÜNE;;   ;189
Sönksen, Harm ;1978;87;Studienrat;1;GRÜNE;RP;14;
Sonnenberg-Westeson, Christoph ;1969;70;PR-Berater;1;GRÜNE;;   ;78
Sonnenborn, Dr. Wolfgang ;1962;84;Zahnarzt;1;AfD;;   ;148
Sonntag, Michael ;1954;95;arbeitslos;1;Die PARTEI;BE;39;
Sonntag, Sandra ;1974;85;Physiotherapeutin;2;FDP;BY;15;225
Sörensen, Lennart ;1995;94;Schüler;1;Die PARTEI;HB;6;
Sorge, Tino ;1975;81;Volljurist;1;CDU;ST;8;69
Spahn, Barbara ;1954;78;Angestellte;2;BüSo;;   ;206
Spahn, Jens ;1980;76;MdB, Bankkaufmann;1;CDU;;   ;124
Sparrer, Otto ;1951;76;Regierungsdirektor;1;FREIE WÄHLER;BY;19;241
Späth, Alois ;1937;95;Rentner;1;BP;;   ;234
Spath, Peter ;1960;95;Rentner;1;ÖDP;BY;25;250
Spatz, Joachim ;1964;76;MdB, Diplom-Mathematiker;1;FDP;BY;9;251
Speck, Jochen ;1980;77;Informatiker;1;PARTEI DER VERNUNFT;BW;8;
Specker, Konrad ;1972;39;Selbständiger Bäckermeister;1;FREIE WÄHLER;BY;10;224
Spee Graf von, Friedrich ;1982;94;Student;1;AfD;BW;14;
Speichert, Horst ;1967;81;Rechtsanwalt;1;AfD;;   ;290
Spiczak-Brzezinski von, Anna ;1986;88;Politikwissenschaftlerin;2;GRÜNE;NW;27;115
Spieker, Wilk ;1967;86;Betreuer, Diplom-Sozialpädagoge;1;PIRATEN;;   ;136
Spiering, Rainer ;1956;87;Oberstudienrat;1;SPD;NI;7;38
Spinrath, Norbert ;1957;80;Polizeibeamter;1;SPD;NW;23;89
Spitz, Malte Johannes ;1984;76;MdB, Student;1;GRÜNE;NW;16;144
